a, ᠠ
bilha, ᠪᡳᠯᡥᠠ
bilten, ᠪᡳᠯᡨᡝᠨ
bimbi, ᠪᡳᠮᠪᡳ
bing, ᠪᡳᠩ
binggiya, ᠪᡳᠩᡤᡳᠶᠠ
bira, ᠪᡳᡵᠠ
biregen, ᠪᡳᡵᡝᡤᡝᠨ
biren, ᠪᡳᡵᡝᠨ
birgan, ᠪᡳᡵᡤᠠᠨ
bithe, ᠪᡳᡨᡥᡝ
bithesi, ᠪᡳᡨᡥᡝᠰᡳ
bitubumbi, ᠪᡳᡨᡠᠪᡠᠮᠪᡳ
bit᠌he, ᠪᡳᡨ᠌ᡥᡝ
biya, ᠪᡳᠶᠠ
biyai, ᠪᡳᠶᠠᡳ
biyangga, ᠪᡳᠶᠠᠩᡤᠠ
biyangsikū, ᠪᡳᠶᠠᠩᠰᡳᡴᡡ
biyoo, ᠪᡳᠶᠣᠣ
boco, ᠪᠣᠴᠣ
bodisatu, ᠪᠣᡩᡳᠰᠠᡨᡠ
bodokū, ᠪᠣᡩ᠋ᠣᡴᡡ
bodombi, ᠪᠣᡩᠣᠮᠪᡳ
bofun, ᠪᠣᡶᡠᠨ
boihon, ᠪᠣᡳᡥᠣᠨ
bojiri, ᠪᠣᠵᡳᡵᡳ
boljombi, ᠪᠣᠯᠵᠣᠮᠪᡳ
boljon, ᠪᠣᠯᠵᠣᠨ
bolori, ᠪᠣᠯᠣᡵᡳ
bolosu, ᠪᠣᠯᠣᠰᡠ
bonggo, ᠪᠣᠨᡤᡤᠣ
bonio, ᠪᠣᠨᡳᠣ
bono, ᠪᠣᠨᠣ
boo, ᠪᠣᠣ
boobai, ᠪᠣᠣᠪᠠᡳ
booi, ᠪᠣᠣᡳ
boose, ᠪᠣᠣᠰᡝ
boro, ᠪᠣᡵᠣ
bosho, ᠪᠣᠰᡥᠣ
boso, ᠪᠣᠰᠣ
buca, ᠪᡠᠴᠠ
bucehe, ᠪᡠᠴᡝᡥᡝ
buceli, ᠪᡠᠴᡝᠯᡳ
bucembi, ᠪᡠᠴᡝᠮᠪᡳ
buda, ᠪᡠᡩ᠋ᠠ
bud᠋a, ᠪᡠᡩ᠋ᠠ
buha, ᠪᡠᡥᠠ
buhū, ᠪᡠᡥᡡ
buir, ᠪᡠᡳᡵ
bujan, ᠪᡠᠵᠠᠨ
buka, ᠪᡠᡴᠠ
bula, ᠪᡠᠯᠠ
bulehen, ᠪᡠᠯᡝᡥᡝᠨ
buleku, ᠪᡠᠯᡝᡴᡠ
bulukan, ᠪᡠᠯᡠᡴᠠᠨ
buraki, ᠪᡠᡵᠠᡴᡳ
burat, ᠪᡠᡵᠠᡨ
butara, ᠪᡠᡨᠠᡵᠠ
buyen, ᠪᡠᠶᡝᠨ
cabcal, ᠴᠠᠪᠴᠠᠯ
cagan, ᠴᠠᡤᠠᠨ
cahar, ᠴᠠᡥᠠᡵ
cahū, ᠴᠠᡥᡡ
cai, ᠴᠠᡳ
cananggi, ᠴᠠᠨᠠᠩᡤᡳ
canggi, ᠴᠠᠩᡤᡳ
carki, ᠴᠠᡵᡴᡳ
ce, ᠴᡝ
cecike, ᠴᡝᠴᡳᡴᡝ
cejen, ᠴᡝᠵᡝᠨ
cembe, ᠴᡝᠮᠪᡝ
cenci, ᠴᡝᠨᠴᡳ
cende, ᠴᡝᠨᡩᡝ
ceng, ᠴᡝᠩ
ceni, ᠴᡝᠨᡳ
ci, ᠴᡳ
cibin, ᠴᡳᠪᡳᠨ
cicihar, ᠴᡳᠴᡳᡥᠠᡵ
cifenggu, ᠴᡳᡶᡝᠩᡤᡠ
cihalan, ᠴᡳᡥᠠᠯᠠᠨ
cihe, ᠴᡳᡥᡝ
cikten, ᠴᡳᡴᡨᡝᠨ
cimari, ᠴᡳᠮᠠᡵᡳ
cimarilambi, ᠴᡳᠮᠠᡵᡳᠯᠠᠮᠪᡳ
cira, ᠴᡳᡵᠠ
cirku, ᠴᡳᡵᡴᡠ
ciruku, ᠴᡳᡵᡠᡴᡠ
cisu, ᠴᡳᠰᡠ
cisui, ᠴᡳᠰᡠᡳ
coco, ᠴᠣᠴᠣ
coko, ᠴᠣᡴᠣ
cooha, ᠴᠣᠣᡥᠠ
coohiyan, ᠴᠣᠣᡥᡳᠶᠠᠨ
coro, ᠴᠣᡵᠣ
coron, ᠴᠣᡵᠣᠨ
cukūlu, ᠴᡠᡴᡡᠯᡠ
cungguru, ᠴᡠᠩᡤᡠᡵᡠ
cuse, ᠴᡠᠰᡝ
cuwan, ᠴᡠᠸᠠᠨ
da, ᡩᠠ
dabagan, ᡩᠠᠪᠠᡤᠠᠨ
dabcikū, ᡩᠠᠪᠴᡳᡴᡡ
dabkūri, ᡩᠠᠪᡴᡡᡵᡳ
dabsun, ᡩᠠᠪᠰᡠᠨ
dahan, ᡩᠠᡥᠠᠨ
daicing, ᡩᠠᡳ᠌ᠴᡳᠩ
daifu, ᡩᠠᡳᡶᡠ
daifurambi, ᡩᠠᡳᡶᡠᡵᠠᠮᠪᡳ
daiiming, ᡩᠠᡳᡳᠮᡳᠩ
dain, ᡩᠠᡳᠨ
dalan, ᡩᠠᠯᠠᠨ
dalba, ᡩᠠᠯᠪᠠ
dalin, ᡩᠠᠯᡳᠨ
dambagu, ᡩᠠᠮᠪᠠᡤᡠ
damtulambi, ᡩᠠᠮᡨᡠᠯᠠᠮᠪᡳ
damtun, ᡩᠠᠮᡨᡠᠨ
damu, ᡩᠠᠮᡠ
dancalambi, ᡩᠠᠨᠴᠠᠯᠠᠮᠪᡳ
dancan, ᡩᠠᠨᠴᠠᠨ
dangse, ᡩᠠᠩᠰᡝ
dara, ᡩᠠᡵᠠ
darama, ᡩᠠᡵᠠᠮᠠ
dari, ᡩᠠᡵᡳ
darun, ᡩᠠᡵᡠᠨ
dasambi, ᡩᠠᠰᠠᠮᠪᡳ
dasan, ᡩᠠᠰᠠᠨ
de, ᡩᡝ
defu, ᡩᡝᡶᡠ
dehele, ᡩᡝᡥᡝᠯᡝ
dehema, ᡩᡝᡥᡝᠮᠠ
deheme, ᡩᡝᡥᡝᠮᡝ
dehi, ᡩᡝᡥᡳ
