hara halbak, ᡥᠠᡵᠠ ᡥᠠᠯᠪᠠᡴ
beging, ᠪᡝᡤᡳᠩ
ai᠌u᠌han, ᠠᡳ᠌ᡠ᠌ᡥᠠᠨ
dergi, ᡩᡝᡵᡤᡳ
be, ᠪᡝ
jey᠋elembi, ᠵᡝᠶ᠋ᡝᠯᡝᠮᠪᡳ
hergen kooli, ᡥᡝᡵᡤᡝᠨ ᡴᠣᠣᠯᡳ
da, ᡩᠠ
min, ᠮᡳᠨ
kai᠌lar, ᡴᠠᡳ᠌ᠯᠠᡵ
gebu, ᡤᡝᠪᡠ
meiren, ᠮᡝᡳᡵᡝᠨ
honin, ᡥᠣᠨᡳᠨ
hūri, ᡥᡡᡵᡳ
doron, ᡩᠣᡵᠣᠨ
juwari, ᠵᡠᠸᠠᡵᡳ
geli, ᡤᡝᠯᡳ
tu᠋le, ᡨᡠ᠋ᠯᡝ
du᠋du᠋, ᡩᡠ᠋ᡩᡠ᠋
solmin, ᠰᠣᠯᠮᡳᠨ
kusugel noor, ᡴᡠᠰᡠᡤᡝᠯ ᠨᠣᠣᡵ
gasha, ᡤᠠᠰᡥᠠ
manju hergen, ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ
abkai cikten, ᠠᠪᡴᠠᡳ ᠴᡳᡴᡨᡝᠨ
šanyan, ᡧᠠᠨᠶᠠᠨ
šahūn, ᡧᠠᡥᡡᠨ
sohon, ᠰᠣᡥᠣᠨ
suwayan, ᠰᡠᠸᠠᠶᠠᠨ
niowanggiyan, ᠨᡳᠣᠸᠠᠩᡤᡳᠶᠠᠨ
sahahūn, ᠰᠠᡥᠠᡥᡡᠨ
wargi dzang, ᠸᠠᡵᡤᡳ ᡯᠠᠩ
niohon, ᠨᡳᠣᡥᠣᠨ
šanggiyan, ᡧᠠᠩᡤᡳᠶᠠᠨ
sahaliyan, ᠰᠠᡥᠠᠯᡳᠶᠠᠨ
sahaliyan ula, ᠰᠠᡥᠠᠯᡳᠶᠠᠨ ᡠᠯᠠ
šandung, ᡧᠠᠨᡩᡠᠩ
juwan cikten, ᠵᡠᠸᠠᠨ ᠴᡳᡴᡨᡝᠨ
taiwan, ᡨᠠᡳᠸᠠᠨ
guwangdung, ᡤᡠᠸᠠᠩᡩᡠᠩ
šansi, ᡧᠠᠨᠰᡳ
hoton, ᡥᠣᡨᠣᠨ
sansi, ᠰᠠᠨᠰᡳ
fugiyan, ᡶᡠᡤᡳᠶᠠᠨ
honan, ᡥᠣᠨᠠᠨ
guwangsi, ᡤᡠᠸᠠᠩᠰᡳ
jegiyang, ᠵᡝᡤᡳᠶᠠᠩ
mucen, ᠮᡠᠴᡝᠨ
halhūn mucen, ᡥᠠᠯᡥᡡᠨ ᠮᡠᠴᡝᠨ
halhūn, ᡥᠠᠯᡥᡡᠨ
suduri, ᠰᡠᡩᡠᡵᡳ
